Date,QQQ
2014-01-02,1.0
2014-01-03,0.9927814364169398
2014-01-06,0.9891147742752338
2014-01-07,0.9982816703188876
2014-01-08,1.000459042801409
2014-01-09,0.9971355074516955
2014-01-10,1.0003440895495461
2014-01-13,0.9855626802823693
2014-01-14,1.0043545524135324
2014-01-15,1.0126051920937198
2014-01-16,1.0127194714152954
2014-01-17,1.0069900049399094
2014-01-21,1.014667515048623
2014-01-22,1.0173027750234893
2014-01-23,1.0138657305582428
2014-01-24,0.9939271179053556
2014-01-27,0.9843019492663356
2014-01-28,0.9837287234191067
2014-01-29,0.9731872984166203
2014-01-30,0.9911772897816478
2014-01-31,0.9885415484280049
2014-02-03,0.9658532039271652
2014-02-04,0.9729580658431818
2014-02-05,0.9704371814656464
2014-02-06,0.9828126596071508
2014-02-07,1.0003440895495461
2014-02-10,1.006073556024932
2014-02-11,1.0175322001484381
2014-02-12,1.0194801475060105
2014-02-13,1.027042896914372
2014-02-14,1.029105508696541
2014-02-18,1.0341473737273672
2014-02-19,1.0270428969143721
2014-02-20,1.0318557219232705
2014-02-21,1.030480615309906
2014-02-24,1.0359805603845875
2014-02-25,1.034834878896172
2014-02-26,1.0339182374296843
2014-02-27,1.0406262506822346
2014-02-28,1.0394757554060527
2014-03-03,1.0317664742980805
2014-03-04,1.0448835645828844
2014-03-05,1.0477600916006051
2014-03-06,1.0468398879311702
2014-03-07,1.0416619852580642
2014-03-10,1.0425826703062757
2014-03-11,1.038094775971613
2014-03-12,1.042007133840919
2014-03-13,1.027278676239173
2014-03-14,1.0202601736756867
2014-03-17,1.0292349995874588
2014-03-18,1.0416619852580642
2014-03-19,1.0360237881987302
2014-03-20,1.0389005077679616
2014-03-21,1.0263992934899975
2014-03-24,1.0174034794635634
2014-03-25,1.0207481954794493
2014-03-26,1.0076011634347382
2014-03-27,1.0019498728726792
2014-03-28,1.003910528629955
2014-03-31,1.0110607364267314
2014-04-01,1.0288208212880332
2014-04-02,1.0314736997261247
2014-04-03,1.0232857355626566
2014-04-04,0.9960682907038734
2014-04-07,0.9866117009124346
2014-04-08,0.9957225644664868
2014-04-09,1.0127905229227283
2014-04-10,0.9814219563214232
2014-04-11,0.9700045182211979
2014-04-14,0.9776161757132665
2014-04-15,0.9808458422015341
2014-04-16,0.9938774396156059
2014-04-17,0.9941080200496188
2014-04-21,1.0014885194531422
2014-04-22,1.0094462882856186
2014-04-23,1.0005665828201113
2014-04-24,1.0101383184149237
2014-04-25,0.9939929705220004
2014-04-28,0.9972221556314915
2014-04-29,1.0051788654306593
2014-04-30,1.00783155131724
2014-05-01,1.010830444819984
2014-05-02,1.0089851274175925
2014-05-05,1.0142900178119776
2014-05-06,1.0011428894915109
2014-05-07,0.9982596231709171
2014-05-08,0.9973371088833543
2014-05-09,1.0010274548608713
2014-05-12,1.0175189140942025
2014-05-13,1.0182109442235074
2014-05-14,1.0129059575533672
2014-05-15,1.0049483812724014
2014-05-16,1.0115222823977783
2014-05-19,1.0185570555639154
2014-05-20,1.0148663244833769
2014-05-21,1.0245539760876052
2014-05-22,1.0290516905493117
2014-05-23,1.0365479134107407
2014-05-27,1.049464365021439
2014-05-28,1.0462346985331714
2014-05-29,1.0529242268406984
2014-05-30,1.0530392763683167
2014-06-02,1.0520016162773804
2014-06-03,1.0515400703063331
2014-06-04,1.055461189269374
2014-06-05,1.0643414723894131
2014-06-06,1.0704531536134554
2014-06-09,1.0696464590595536
2014-06-10,1.0714911988074132
2014-06-11,1.0712608109249109
2014-06-12,1.0615737369752143
2014-06-13,1.0646873911783103
2014-06-16,1.0656100017416283
2014-06-17,1.0661863084130279
2014-06-18,1.072183228936718
2014-06-19,1.0714911988074127
2014-06-20,1.0727516409961804
2014-06-23,1.0729830879119915
2014-06-24,1.0719426358241506
2014-06-25,1.0787652172255424
2014-06-26,1.0793429680332718
2014-06-27,1.0840840676044499
2014-06-30,1.0859342950703632
2014-07-01,1.0978447613136282
2014-07-02,1.0996949887795415
2014-07-03,1.1066328122600622
2014-07-07,1.1032796239777074
2014-07-08,1.0899816315486404
2014-07-09,1.0980757268506627
2014-07-10,1.0946069113861576
2014-07-11,1.1016607471518498
2014-07-14,1.1082517853616753
2014-07-15,1.1044361846264752
2014-07-16,1.1088303063754474
2014-07-17,1.094144113830291
2014-07-18,1.1114898278406566
2014-07-21,1.1101023016548546
2014-07-22,1.1171560411447916
2014-07-23,1.1243255040926339
2014-07-24,1.1230537013647373
2014-07-25,1.1186589056854777
2014-07-28,1.11900636488646
2014-07-29,1.117040317686886
2014-07-30,1.1214347282631243
2014-07-31,1.0987699713223404
2014-08-01,1.0947227311198187
2014-08-04,1.1022388830626006
2014-08-05,1.0937975211111064
2014-08-06,1.0929882271118105
2014-08-07,1.089519219095795
2014-08-08,1.0973820600335171
2014-08-11,1.1038577598884585
2014-08-12,1.1033955399871238
2014-08-13,1.1150743667630674
2014-08-14,1.1208563998008632
2014-08-15,1.126291166189187
2014-08-18,1.1349640713322475
2014-08-19,1.141323855177773
2014-08-20,1.141323855177773
2014-08-21,1.1436364950965316
2014-08-22,1.1453709991045395
2014-08-25,1.1494183355828167
2014-08-26,1.1505749925073396
2014-08-27,1.1508059580443741
2014-08-28,1.1495337702134563
2014-08-29,1.1538128424348104
2014-09-02,1.1571663195444313
2014-09-03,1.1503438344187948
2014-09-04,1.14930222702189
2014-09-05,1.1550845488869514
2014-09-08,1.1572813690720494
2014-09-09,1.1476840241263195
2014-09-10,1.1571663195444313
2014-09-11,1.1562406281569426
2014-09-12,1.1503438344187948
