Date,TLT
2014-01-02,1.0
2014-01-03,1.0
2014-01-06,1.0042089480911442
2014-01-07,1.0067529609388859
2014-01-08,1.0040128682521923
2014-01-09,1.009885931169003
2014-01-10,1.0219233052989756
2014-01-13,1.0270129718299315
2014-01-14,1.0223158751857475
2014-01-15,1.021239076906984
2014-01-16,1.0280904879742139
2014-01-17,1.0323972708804001
2014-01-21,1.0331801545051698
2014-01-22,1.0306349110308237
2014-01-23,1.0452187592617466
2014-01-24,1.0519720278572837
2014-01-27,1.0446316478192779
2014-01-28,1.0471761734281047
2014-01-29,1.0557897392404771
2014-01-30,1.0527552191387044
2014-01-31,1.0598025049404525
2014-02-03,1.0727156750038196
2014-02-04,1.0613327891229012
2014-02-05,1.0515199776846371
2014-02-06,1.0470065520611453
2014-02-07,1.0478897317541656
2014-02-10,1.0508340059049561
2014-02-11,1.0447494803166397
2014-02-12,1.0393526698956936
2014-02-13,1.0452403977795388
2014-02-14,1.045828739848612
2014-02-18,1.0481841591692445
2014-02-19,1.0437686709130116
2014-02-20,1.041217274305644
2014-02-21,1.0467119195416321
2014-02-24,1.0440627906714397
2014-02-25,1.0533851974078896
2014-02-26,1.0589779851155707
2014-02-27,1.064768083288808
2014-02-28,1.065356527910098
2014-03-03,1.0724683190563549
2014-03-04,1.0563362400050038
2014-03-05,1.0585985419125776
2014-03-06,1.0481715452465503
2014-03-07,1.0415818474371683
2014-03-10,1.0430564457657723
2014-03-11,1.0458116136283686
2014-03-12,1.0530900521272912
2014-03-13,1.0672548719994497
2014-03-14,1.0674513620472699
2014-03-17,1.0594830547844192
2014-03-18,1.0633203536410645
2014-03-19,1.0550567985453987
2014-03-20,1.0531885022556353
2014-03-21,1.0645986670262824
2014-03-24,1.0721726610146713
2014-03-25,1.0681394874235082
2014-03-26,1.076500774781999
2014-03-27,1.0819109169911583
2014-03-28,1.0758129570624115
2014-03-31,1.0731568546414614
2014-04-01,1.0639847894551702
2014-04-02,1.0578708313805676
2014-04-03,1.0625056788290173
2014-04-04,1.0696060866791843
2014-04-07,1.0760164206609895
2014-04-08,1.0785801235344001
2014-04-09,1.0732550996653716
2014-04-10,1.0832155862961519
2014-04-11,1.0919929279991136
2014-04-14,1.0891325415618494
2014-04-15,1.095937086265899
2014-04-16,1.097317644211491
2014-04-17,1.0852860130056718
2014-04-21,1.0843993465372728
2014-04-22,1.08804835952346
2014-04-23,1.0942608702786238
2014-04-24,1.0963311944359269
2014-04-25,1.0979091653992923
2014-04-28,1.0925841415302637
2014-04-29,1.0911048257996767
2014-04-30,1.0956417358808672
2014-05-01,1.1073952454741143
2014-05-02,1.114216608741756
2014-05-05,1.1074945160201946
2014-05-06,1.1119426158814414
2014-05-07,1.1079885100496043
2014-05-08,1.1032439317289378
2014-05-09,1.0996844468282134
2014-05-12,1.0952359367580984
2014-05-13,1.1047261189216016
2014-05-14,1.1166883222764947
2014-05-15,1.1255851373122905
2014-05-16,1.1224217090737172
2014-05-19,1.1141176458523265
2014-05-20,1.1165895644914996
2014-05-21,1.1097677910149897
2014-05-22,1.1081864358284625
2014-05-23,1.1141176458523265
2014-05-27,1.1206422230038977
2014-05-28,1.1344826702136057
2014-05-29,1.1284521896436615
2014-05-30,1.1279578879576004
2014-06-02,1.119573321245845
2014-06-03,1.1057959436496074
2014-06-04,1.1054992600857538
2014-06-05,1.1059944847417682
2014-06-06,1.1059944847417682
2014-06-09,1.104408822362126
2014-06-10,1.1003449856580723
2014-06-11,1.1023264995954314
2014-06-12,1.1121394135859126
2014-06-13,1.111544713279384
2014-06-16,1.1143194686154323
2014-06-17,1.1054992600857543
2014-06-18,1.1140219646338425
2014-06-19,1.099750593008195
2014-06-20,1.108076089642944
2014-06-23,1.1046064404843337
2014-06-24,1.1158063732100794
2014-06-25,1.1186810144055102
2014-06-26,1.1240332146120504
2014-06-27,1.1223478714774597
2014-06-30,1.125122729365725
2014-07-01,1.1157034107841863
2014-07-02,1.1037785364362902
2014-07-03,1.0998042278176994
2014-07-07,1.1078532436753488
2014-07-08,1.1202741630969952
2014-07-09,1.121167905668369
2014-07-10,1.1214666402765632
2014-07-11,1.1286208880406685
2014-07-14,1.1237511960152315
2014-07-15,1.1214666402765632
2014-07-16,1.1274285134133175
2014-07-17,1.1416377383954477
2014-07-18,1.1379614465195318
2014-07-21,1.1436253029136112
2014-07-22,1.1460105649293981
2014-07-23,1.1445198659027211
2014-07-24,1.1359736768969342
2014-07-25,1.1493891477192901
2014-07-28,1.147798973042099
2014-07-29,1.1519720278572847
2014-07-30,1.1359736768969344
2014-07-31,1.1325951966592593
2014-08-01,1.1413628984538204
2014-08-04,1.1383740140886238
2014-08-05,1.1420608688428935
2014-08-06,1.1427581213664473
2014-08-07,1.1534176039084707
2014-08-08,1.1509270207657991
2014-08-11,1.1508278527719358
2014-08-12,1.1433554880306187
2014-08-13,1.1508278527719358
2014-08-14,1.160093343027937
2014-08-15,1.1727465432211455
2014-08-18,1.161090253129638
2014-08-19,1.157502874025883
2014-08-20,1.1556104779651186
2014-08-21,1.1620859326047348
2014-08-22,1.1685619000054361
2014-08-25,1.1729454945221742
2014-08-26,1.1691599845351266
2014-08-27,1.1791223171058134
2014-08-28,1.1852995498983208
2014-08-29,1.1860968933856908
2014-09-02,1.1656360852537102
2014-09-03,1.172126820173663
2014-09-04,1.1578474494750877
2014-09-05,1.1556500631208908
2014-09-08,1.1561495949700202
2014-09-09,1.1552505196833611
2014-09-10,1.147961620858302
2014-09-11,1.1441665735150708
2014-09-12,1.1321838597167724
2014-09-15,1.1338816116696229
2014-09-16,1.1292879902124173
2014-09-17,1.1263919156036284
2014-09-18,1.1299870886758776
2014-09-19,1.1443666528904866
2014-09-22,1.1457645421607559
2014-09-23,1.1528541820281353
