Date,SPY
2014-01-02,1.0
2014-01-03,0.9998357977960143
2014-01-06,0.9969381598978188
2014-01-07,1.0030611252915915
2014-01-08,1.0032797552161772
2014-01-09,1.0039360534531274
2014-01-10,1.0066693870315386
2014-01-13,0.9932753683214736
2014-01-14,1.0041001535413145
2014-01-15,1.0095121887459402
2014-01-16,1.0081997965036364
2014-01-17,1.0039360534531272
2014-01-21,1.0068879148403254
2014-01-22,1.0075442130772756
2014-01-23,0.9992891719266511
2014-01-24,0.977968312242336
2014-01-27,0.9731570242802774
2014-01-28,0.9789519937292729
2014-01-29,0.9695491710035246
2014-01-30,0.9798267176592118
2014-01-31,0.9740870949730026
2014-02-03,0.9521646711197325
2014-02-04,0.9588340581512711
2014-02-05,0.9576314403923534
2014-02-06,0.9702598969610746
2014-02-07,0.9822868914766394
2014-02-10,0.9840908691729152
2014-02-11,0.9948606139773655
2014-02-12,0.9953528121261286
2014-02-13,1.0004917896855692
2014-02-14,1.0060133951419838
2014-02-18,1.007215706553506
2014-02-19,1.0005462174061688
2014-02-20,1.0064506549911545
2014-02-21,1.0053021586054411
2014-02-24,1.0108788044772465
2014-02-25,1.0104957681170783
2014-02-26,1.0105507064166706
2014-02-27,1.0158535798327013
2014-02-28,1.0184230175545224
2014-03-03,1.0112614323742206
2014-03-04,1.025475236714632
2014-03-05,1.0264045925967675
2014-03-06,1.0287549919308092
2014-03-07,1.0291929665905697
2014-03-10,1.0286461364896098
2014-03-11,1.0235614845349703
2014-03-12,1.0238353591065434
2014-03-13,1.0123545819971476
2014-03-14,1.00951218874594
2014-03-17,1.0186419538265032
2014-03-18,1.0259125986796016
2014-03-19,1.0204456251753835
2014-03-20,1.0264045925967675
2014-03-21,1.0224236081923008
2014-03-24,1.0181955035554675
2014-03-25,1.0230275210246214
2014-03-26,1.0156699756270007
2014-03-27,1.0135281988692917
2014-03-28,1.0185248270056253
2014-03-31,1.0268711596801074
2014-04-01,1.033680241123992
2014-04-02,1.0371396180297283
2014-04-03,1.0357669774663105
2014-04-04,1.0235218636051528
2014-04-07,1.0122103944896677
2014-04-08,1.0163834587111102
2014-04-09,1.0273106660768454
2014-04-10,1.0057307386117393
2014-04-11,0.9966706165057521
2014-04-14,1.0045230150628968
2014-04-15,1.011441360411175
2014-04-16,1.022039448558349
2014-04-17,1.0234666189581652
2014-04-21,1.0270361788104811
2014-04-22,1.0317033813808583
2014-04-23,1.0292875258199792
2014-04-24,1.031374160046499
2014-04-25,1.0229175423096382
2014-04-28,1.026157472364401
2014-04-29,1.0309346536497612
2014-04-30,1.0340096666899488
2014-05-01,1.034119339057536
2014-05-02,1.0326369240107323
2014-05-05,1.0346134774064706
2014-05-06,1.0256081914842772
2014-05-07,1.031648443081266
2014-05-08,1.0305503919000107
2014-05-09,1.0320879494780038
2014-05-12,1.0421364503976587
2014-05-13,1.0430698909117342
2014-05-14,1.0381279968433959
2014-05-15,1.029012834322018
2014-05-16,1.032582189942737
2014-05-19,1.0363707881828323
2014-05-20,1.0298367045843042
2014-05-21,1.0385125649405413
2014-05-22,1.041038092869008
2014-05-23,1.0452115655536445
